year,Passengers_trend,Month,Passengers,months,data,months3,data3
1990,17.55,1949-01,112,1,814386,1,2243103
1991,21.86,1949-02,118,2,857462,2,2162705
1992,23.89,1949-03,132,3,1073889,3,2720911
1993,26.93,1949-04,129,4,720009,4,2011182
1994,26.89,1949-05,121,5,642450,5,1877757
1995,28.83,1949-06,135,6,644444,6,1819924
1996,30.08,1949-07,148,7,610130,7,1682196
1997,30.95,1949-08,148,8,638530,8,1893171
1998,30.19,1949-09,136,9,1526750,9,3325711
1999,31.58,1949-10,119,10,1107807,10,2662148
2000,32.58,1949-11,104,11,1092867,11,2909966
2001,33.48,1949-12,118,12,1105165,12,2574633
2002,39.02,1950-01,115,13,1152613,13,2547980
2003,41.39,1950-02,126,14,1057727,14,2247049
2004,41.6,1950-03,141,15,1212424,15,2731156
2005,44.66,1950-04,135,16,895208,16,2020158
2006,46.95,1950-05,125,17,831309,17,2098038
2007,48.73,1950-06,149,18,748679,18,1927995
2008,51.49,1950-07,170,19,722409,19,1783692
2009,50.03,1950-08,170,20,754196,20,1907705
2010,60.64,1950-09,158,21,1454231,21,3124040
2011,63.36,1950-10,133,22,1374688,22,3102251
2012,66.36,1950-11,114,23,1382952,23,3154669
2013,68.2,1950-12,140,24,1350972,24,2742367
2014,68.12,1951-01,145,25,1260092,25,2965885
2015,69.78,1951-02,150,26,1172990,26,2751170
2016,72.6,1951-03,178,27,1232117,27,2906493
,,1951-04,163,28,932696,28,2383358
,,1951-05,172,29,868927,29,2246893
,,1951-06,178,30,706756,30,1992851
,,1951-07,199,31,711291,31,2023434
,,1951-08,199,32,876363,32,2244997
,,1951-09,184,33,1475679,33,3257717
,,1951-10,162,34,1689726,34,3536338
,,1951-11,146,35,1520284,35,3358206
,,1951-12,166,36,1498441,36,3112906
,,1952-01,171,37,1369528,37,3113110
,,1952-02,180,38,1240695,38,2883766
,,1952-03,193,39,1142301,39,2957893
,,1952-04,181,40,981318,40,2601648
,,1952-05,183,41,884650,41,2370949
,,1952-06,218,42,800289,42,2339881
,,1952-07,230,43,634107,43,2105328
,,1952-08,242,44,755372,44,2341623
,,1952-09,209,45,2070259,45,4086297
,,1952-10,191,46,1550970,46,3640827
,,1952-11,172,47,1513274,47,3502334
,,1952-12,194,48,1341595,48,3280476
,,1953-01,196,49,1589109,49,3895396
,,1953-02,196,50,1318301,50,3588151
,,1953-03,236,51,1299159,51,3787240
,,1953-04,235,52,921703,52,3036434
,,1953-05,229,53,880796,53,2907891
,,1953-06,243,54,731299,54,2707822
,,1953-07,264,55,683008,55,2619486
,,1953-08,272,56,1512234,56,3784557
,,1953-09,237,57,2424705,57,4987460
,,1953-10,211,58,1699817,58,4367319
,,1953-11,180,59,1625965,59,4205772
,,1953-12,201,60,1539945,60,4059533
,,1954-01,204,61,1503751,61,3895396
,,1954-02,188,62,1494858,62,3588151
,,1954-03,235,63,1316966,63,3787240
,,1954-04,227,64,1028055,64,3036434
,,1954-05,234,65,920750,65,2907891
,,1954-06,264,66,831961,66,2707822
,,1954-07,302,67,841936,67,2619486
,,1954-08,293,68,965319,68,3784557
,,1954-09,259,69,2421272,69,4987460
,,1954-10,229,70,1598167,70,4367319
,,1954-11,203,71,1785268,71,4205772
,,1954-12,229,72,1731360,72,4059533
,,1955-01,242,,,73,4474000
,,1955-02,233,,,74,4185565
,,1955-03,267,,,75,4278119
,,1955-04,269,,,76,3985542
,,1955-05,270,,,77,3605973
,,1955-06,315,,,78,3515173
,,1955-07,364,,,79,3269444
,,1955-08,347,,,80,3656112
,,1955-09,312,,,81,5637391
,,1955-10,274,,,82,5157781
,,1955-11,237,,,83,5353458
,,1955-12,278,,,84,4703185
,,1956-01,284,,,,
,,1956-02,277,,,,
,,1956-03,317,,,,
,,1956-04,313,,,,
,,1956-05,318,,,,
,,1956-06,374,,,,
,,1956-07,413,,,,
,,1956-08,405,,,,
,,1956-09,355,,,,
,,1956-10,306,,,,
,,1956-11,271,,,,
,,1956-12,306,,,,
,,1957-01,315,,,,
,,1957-02,301,,,,
,,1957-03,356,,,,
,,1957-04,348,,,,
,,1957-05,355,,,,
,,1957-06,422,,,,
,,1957-07,465,,,,
,,1957-08,467,,,,
,,1957-09,404,,,,
,,1957-10,347,,,,
,,1957-11,305,,,,
,,1957-12,336,,,,
,,1958-01,340,,,,
,,1958-02,318,,,,
,,1958-03,362,,,,
,,1958-04,348,,,,
,,1958-05,363,,,,
,,1958-06,435,,,,
,,1958-07,491,,,,
,,1958-08,505,,,,
,,1958-09,404,,,,
,,1958-10,359,,,,
,,1958-11,310,,,,
,,1958-12,337,,,,
,,1959-01,360,,,,
,,1959-02,342,,,,
,,1959-03,406,,,,
,,1959-04,396,,,,
,,1959-05,420,,,,
,,1959-06,472,,,,
,,1959-07,548,,,,
,,1959-08,559,,,,
,,1959-09,463,,,,
,,1959-10,407,,,,
,,1959-11,362,,,,
,,1959-12,405,,,,
,,1960-01,417,,,,
,,1960-02,391,,,,
,,1960-03,419,,,,
,,1960-04,461,,,,
,,1960-05,472,,,,
,,1960-06,535,,,,
,,1960-07,622,,,,
,,1960-08,606,,,,
,,1960-09,508,,,,
,,1960-10,461,,,,
,,1960-11,390,,,,
,,1960-12,432,,,,
